Index,Civilian_Type,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Name_Eng,Latitude,Longitude,Victims
1,သာသနာ့ဝန်ထမ်း,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,1
2,အရပ်သားပြည်သူ,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,2
3,အရပ်သားပြည်သူ,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,3
4,အရပ်သားပြည်သူ,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,4
5,အရပ်သားပြည်သူ,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,5
6,အရပ်သားပြည်သူ,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,,Taungoo Town,18.93953,96.43314,6
7,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,1
8,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,2
9,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,3
10,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,4
11,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,5
12,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,6
13,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,7
14,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,8
15,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,9
16,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,10
17,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,11
18,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,12
19,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,13
20,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,MMR010024065,Wet Let,Ywar Tan,20.655029,95.9998703,14
21,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,MMR010023701,,Yamethin Town,20.4305,96.13747,1
22,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,MMR010023701,,Yamethin Town,20.4305,96.13747,2
23,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,MMR010023701,,Yamethin Town,20.4305,96.13747,3
24,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,MMR010023701,,Yamethin Town,20.4305,96.13747,4
25,အရပ်သားပြည်သူ,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,MMR010023701,,Yamethin Town,20.4305,96.13747,5
